id,ville,nb_chambres,type,douche_toilettes,type_acces,categorie,prix
211,Fianarantsoa,5,F5,intérieur,Acces vehicule,Appartement,699000
212,Tamatave,2,T2,intérieur,Acces moto,Maison,1471000
213,Majunga,3,T3,intérieur,Acces vehicule,Maison,1101000
214,Majunga,5,F5,intérieur,Acces moto,Appartement,612000
215,Tamatave,2,T2,intérieur,Acces vehicule,Appartement,838000
216,Tulear,2,T2,intérieur,Acces moto,Appartement,345000
217,Tamatave,2,T2,intérieur,Acces vehicule,Appartement,810000
218,Diego,2,T2,extérieur,Acces vehicule,Maison,979000
219,Diego,2,T2,intérieur,Aucun,Appartement,449000
220,Majunga,4,F4,intérieur,Acces vehicule,Appartement,835000
221,Tamatave,4,F4,intérieur,Acces moto,Appartement,479000
222,Tulear,2,T2,intérieur,Acces vehicule,Appartement,516000
223,Tamatave,5,F5,extérieur,Acces vehicule,Appartement,779000
224,Fianarantsoa,4,F4,extérieur,Acces moto,Maison,708000
225,Tulear,4,F4,intérieur,Acces vehicule,Appartement,369000
226,Diego,5,F5,intérieur,Acces vehicule,Appartement,447000
227,Fianarantsoa,3,T3,intérieur,Acces vehicule,Appartement,650000
228,Fianarantsoa,5,F5,intérieur,Acces moto,Appartement,655000
229,Antananarivo,5,F5,intérieur,Acces vehicule,Maison,2756000
230,Tamatave,4,F4,intérieur,Acces moto,Appartement,852000
231,Majunga,4,F4,intérieur,Aucun,Appartement,464000
232,Antananarivo,2,T2,extérieur,Acces vehicule,Maison,1515000
233,Majunga,3,T3,extérieur,Acces vehicule,Appartement,319000
234,Tamatave,2,T2,intérieur,Acces moto,Appartement,427000
235,Tulear,4,F4,intérieur,Acces vehicule,Appartement,475000
236,Majunga,5,F5,intérieur,Acces moto,Maison,992000
237,Majunga,4,F4,intérieur,Acces vehicule,Appartement,583000
238,Fianarantsoa,5,F5,intérieur,Acces vehicule,Maison,718000
239,Diego,4,F4,intérieur,Acces vehicule,Appartement,242000
240,Fianarantsoa,3,T3,intérieur,Acces vehicule,Appartement,637000
241,Diego,4,F4,intérieur,Acces vehicule,Appartement,456000
242,Majunga,4,F4,intérieur,Acces moto,Appartement,810000
243,Fianarantsoa,2,T2,extérieur,Acces moto,Appartement,544000
244,Tamatave,5,F5,intérieur,Acces vehicule,Appartement,844000
245,Antananarivo,2,T2,intérieur,Aucun,Appartement,588000
246,Tamatave,3,T3,intérieur,Acces vehicule,Maison,1915000
247,Antananarivo,2,T2,intérieur,Acces moto,Maison,1123000
248,Fianarantsoa,5,F5,intérieur,Acces vehicule,Appartement,282000
249,Majunga,2,T2,extérieur,Acces moto,Maison,1042000
250,Antananarivo,3,T3,intérieur,Acces moto,Appartement,987000
251,Majunga,5,F5,intérieur,Acces moto,Appartement,399000
252,Antananarivo,4,F4,extérieur,Acces vehicule,Appartement,766000
253,Tamatave,2,T2,intérieur,Acces vehicule,Appartement,745000
254,Tulear,4,F4,intérieur,Acces vehicule,Maison,692000
255,Antananarivo,3,T3,intérieur,Acces vehicule,Maison,1996000
256,Tulear,4,F4,intérieur,Acces moto,Appartement,275000
257,Tulear,5,F5,intérieur,Acces vehicule,Appartement,531000
258,Diego,2,T2,extérieur,Acces vehicule,Appartement,574000
259,Antananarivo,5,F5,intérieur,Acces vehicule,Appartement,974000
260,Diego,3,T3,intérieur,Aucun,Maison,634000
261,Antananarivo,2,T2,extérieur,Acces vehicule,Maison,3142000
262,Antananarivo,3,T3,extérieur,Acces vehicule,Appartement,1188000
263,Diego,4,F4,extérieur,Acces vehicule,Maison,810000
264,Diego,3,T3,intérieur,Acces vehicule,Appartement,694000
265,Tulear,5,F5,intérieur,Acces vehicule,Maison,1070000
266,Tamatave,2,T2,extérieur,Acces moto,Appartement,712000
267,Antananarivo,4,F4,intérieur,Acces vehicule,Appartement,897000
268,Tulear,3,T3,intérieur,Aucun,Maison,387000
269,Majunga,5,F5,intérieur,Acces vehicule,Appartement,663000
270,Tulear,2,T2,extérieur,Acces vehicule,Maison,583000
271,Diego,3,T3,intérieur,Acces vehicule,Maison,756000
272,Antananarivo,3,T3,intérieur,Acces vehicule,Appartement,572000
273,Tulear,2,T2,intérieur,Acces moto,Maison,841000
274,Fianarantsoa,5,F5,intérieur,Acces vehicule,Appartement,702000
275,Antananarivo,5,F5,intérieur,Acces moto,Maison,1271000
276,Tamatave,5,F5,extérieur,Acces vehicule,Maison,1298000
277,Tamatave,2,T2,intérieur,Aucun,Appartement,222000
278,Antananarivo,3,T3,extérieur,Acces moto,Maison,1313000
279,Majunga,4,F4,intérieur,Acces vehicule,Appartement,571000
280,Tulear,2,T2,intérieur,Aucun,Maison,775000
281,Antananarivo,3,T3,intérieur,Acces vehicule,Appartement,486000
282,Diego,2,T2,intérieur,Aucun,Appartement,506000
283,Tulear,3,T3,intérieur,Acces vehicule,Maison,1164000
284,Diego,3,T3,intérieur,Acces moto,Maison,765000
285,Tamatave,5,F5,intérieur,Acces moto,Maison,2203000
286,Tulear,3,T3,intérieur,Acces vehicule,Maison,1237000
287,Antananarivo,3,T3,intérieur,Acces moto,Appartement,1033000
288,Antananarivo,3,T3,intérieur,Acces moto,Appartement,725000
289,Majunga,4,F4,extérieur,Acces vehicule,Appartement,663000
290,Diego,2,T2,extérieur,Aucun,Maison,567000
291,Antananarivo,4,F4,extérieur,Acces vehicule,Appartement,1426000
292,Antananarivo,3,T3,extérieur,Acces moto,Maison,2637000
293,Tulear,5,F5,intérieur,Acces vehicule,Appartement,608000
294,Antananarivo,4,F4,intérieur,Acces moto,Maison,2585000
295,Antananarivo,5,F5,intérieur,Acces moto,Appartement,1211000
296,Tulear,5,F5,intérieur,Acces moto,Appartement,544000
297,Diego,4,F4,intérieur,Acces vehicule,Appartement,303000
298,Tamatave,2,T2,intérieur,Aucun,Appartement,500000
299,Majunga,5,F5,intérieur,Acces vehicule,Maison,942000
300,Majunga,5,F5,intérieur,Acces moto,Appartement,595000
